DAY,JN,CW,PS,HZ,JN,,EK,DATE,EVENT 1,CLASSROOM,"Shift 1
8am - 9.30am","Shift 2
12.30pm - 2pm","Shift 3
4.30pm - 6pm",EVENT 2,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 3,CLASSROOM,Shift 1,Shift 2,Shift,EVENT 4,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 5,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 6,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 7,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 8,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 9,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 9,CLASSROOM,Shift 1,Shift 2,Shift 3
Friday,,,,,,,,9-Aug-24,NATIONAL DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,10-Aug-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,11-Aug-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,12-Aug-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,13-Aug-24,CSA STL 1,2.612A,JL,JL,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,14-Aug-24,CSA SS,2.612A,AL,AL,AL,Creative SI,CC11,JT,JT,JT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,15-Aug-24,CSA STL 1,2.612A,JL,,,CSA STL 2,2.612A,,JL,JL,IDS Healthcare,TT19,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,16-Aug-24,CSA DF,2.612A,AL,AL,AL,Infineon DI,Offsite,Ek,Ek,Ek,Pub Sus 6,TT19,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,17-Aug-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,18-Aug-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,19-Aug-24,RSAF - DWPP,TT19,JL,JL,JL,,,,,,ICS301,Offiste,,,,,,,,,SCI,Offsite,,,,SZ Pre-Trip,LT 5 – 8 am to 5. 30 pm,,,,Seatrium Setup,,,NC/AL/SS,NC/AL/SS,,,,,,,,,,,,,,,
Tuesday,,,,,,,,20-Aug-24,RDBMS (Healthcare),Online,NC,NC,,CSA STL 2,2.612A,JL,JL,JL,ICS301,TT20,,,AL,IAI,TT19,JT,JT,JT,SCI,Offsite,,,,Evening - DSV,Zoom,,,NC,Seatrium x 90,CC11&12,NC/AL/SS,NC/AL/SS,NC/AL/SS,,,,,,,,,,,,,,,
Wednesday,,,,,,,,21-Aug-24,STE FDIB,CC11,SW,SW,SW,CSA SS,2.612A,AL,AL,AL,,,,,,,,,,,SCI,Offsite,,,,,,,,,SMT Loan,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,22-Aug-24,STE FDIB,CC11,NC,NC,NC,CSA STL 2,2.612A,JL,JL,JL,ICS301,Offsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,23-Aug-24,STE FDIB,CC11,SW,SW,SW,CSA DF,2.612A,AL,AL,AL,Pub Sus 6,TT19,NC,NC,NC,ICS301,Offsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,24-Aug-24,Morning  - DSV,Zoom,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,25-Aug-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,26-Aug-24,RSAF - DWPP,TT19,NC,NC,NC,SMT - FDIB,CC11,DA,DA,DA,Meeran Loan hub x 1 50 inch,,,,,,,,,,SZ,Offsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,27-Aug-24,,,,,,CSM,Online,NC,NC,NC,Evening - DSV,Zoom,,,NC,Creative SI,TT19,DA,DA,DA,SZ,Offsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,28-Aug-24,Pub FPB,TT19,SS,SS,SS,CSM,Online,NC,NC,NC,SMT - FDIB,CC11,DA,DA,DA,,,,,,SZ,Offsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,29-Aug-24,,,,,,CSPO,Online,AL,AL,AL,SMT - FDIB,CC11,DA,DA,DA,,,,,,SZ,Offsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,30-Aug-24,CSA DF,2.612A,JL,JL,JL,CSPO,Online,AL,AL,AL,Pub Sus 6,TT19,NC,NC,NC,,,,,,SZ,Offsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,31-Aug-24,Morning  - DSV,Zoom,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,1-Sep-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,2-Sep-24,RSAF - DWPP,TT19,NC,NC,NC,,,,,,SC4.0,TT20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,3-Sep-24,Evening - DSV,Zoom,,,NC,CSA STL 2,2.612A,JL,JL,JL,SC4.0,TT20,NC,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,4-Sep-24,CSA SS,2.612A,AL,AL,AL,Pub FPB,TT19,DA,DA,DA,SC4.0,TT20,NC,NC,NC,TL Loan Hub x 5 50inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,5-Sep-24,CSA STL 2,2.612A,JL,JL,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,6-Sep-24,RSAF - FDS,Online,DA,DA,DA,CSA DF,2.612A,AL,AL,,Pub Sus 6,TT19,NC,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,7-Sep-24,Morning  - DSV,Zoom,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,8-Sep-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,9-Sep-24,RSAF - DWPP,TT19,NC,NC,NC,CSA STL 2,2.612A,AL,AL,AL,HASS Loan 1x 50inces hub,,,,,ISSCEL,Offsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,10-Sep-24,Evening - DSV,Zoom,,,NC,CSA STL 2,2.612A,AL,AL,AL,,,,,,ISSCEL,Offsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,11-Sep-24,SUTD - DIA,CC11,AL,AL,AL,Pub FPB,TT19,DA,DA,DA,EMC - IAI (PM),Hotel,,,,ISSCEL,Offsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,12-Sep-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,13-Sep-24,RSAF - FDS,Online,AL,AL,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,14-Sep-24,Morning  - DSV,Zoom,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,15-Sep-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,16-Sep-24,RSAF - DWPP,Online,AL,AL,,,,,,,CSM,Zoom,SS,SS,SS,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,17-Sep-24,Evening - DSV,Zoom,,,NC,,,,,,CSM,Zoom,SS,SS,SS,DSOEP,Lib Training Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,18-Sep-24,,,,,,Pub FPB,TT19,DA,DA,DA,,,,,,DSOEP,Lib Training Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,19-Sep-24,,,,,,,,,,,,,,,,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,20-Sep-24,RSAF - FDS,Online,NC,NC,NC,,,,,,,,,,,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,21-Sep-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,22-Sep-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,23-Sep-24,RSAF - DWPP,Online,AL,AL,,,,,,,,,,,,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,24-Sep-24,Evening - DSV,Zoom,,,NC,DLO Use TT19 from 10am to 2pm,,,,,EMC - IAI (PM),Hotel,,,,A-CSM,Zoom,JL,JL,JL,,,,,,CDC Loan 2x Hub,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,25-Sep-24,,,,,,Pub FPB,Online,DA,DA,,SWL,Offsite,,,,A-CSM,Zoom,JL,JL,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,26-Sep-24,,,,,,CASP 1,Zoom,NC,NC,NC,SWL,Offsite,,,,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,27-Sep-24,RSAF - FDS,Online,AL,AL,AL,CASP 1,Zoom,NC,NC,NC,SWL,Offsite,,,,SUTD FDIB HR,2.612A,JL,JL,JL,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,28-Sep-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,29-Sep-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,30-Sep-24,RSAF - DVSAP,TT20,DA,DA,DA,SUTD - IBD,2.612A,NC,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,1-Oct-24,Evening  - RDBMS,Zoom,,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,2-Oct-24,HR loan room,2.612A,,,,RSAF - FDS,Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,3-Oct-24,DLCC SA STAFF,1.311A,,,,,,,,,SUTD FDIB HR,2.612A,NC,NC,NC,AFI SLA - CC,TT19,SS,SS,SS,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,4-Oct-24,,,,,,,,,,,SUTD FDIB HR,2.612A,NC,NC,NC,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,5-Oct-24,Morning - RDBMS,Zoom,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,6-Oct-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,7-Oct-24,RSAF - DVSAP,TT19,JL,JL,JL,SUTD - IBD,2.612A,NC,NC,NC,NGSCSL,Offsite,,,,,,,,,Certis IAI,Rendezvous,EL,EL,EL,,,seat 314 okie ,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,8-Oct-24,Pub - IAI,TT19,NC,NC,NC,Evening  - RDBMS,Zoom,,,DA,NGSCSL,Offsite,,,,AFI SLA - CC,Overseas,,,,"IT Hub 3x 50""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,9-Oct-24,Pub FPB,Online,AL,AL,,,,,,,NGSCSL,Offsite,,,,AFI SLA - CC,Overseas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,10-Oct-24,,,,,,,,,,,CSPO,Zoom,JL,JL,JL,AFI SLA - CC,Overseas,,,,Certis AI D2,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,11-Oct-24,RSAF - DSV,TT19,NC,NC,NC,,,,,,CSPO,Zoom,Haz,Haz,Haz,AFI SLA - CC,Overseas,,,,Certis AI D2,Comp Lab 1.611,DA,DA,DA,Discovery 2x 80inches,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,12-Oct-24,Morning - RDBMS,Zoom,NC,,,,,,,,,,,,,AFI SLA - CC,Overseas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,13-Oct-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,14-Oct-24,RSAF - DVSAP,TT19,JL,JL,JL,SUTD - IBD,2.612A,NC,NC,NC,,,,,,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,15-Oct-24,Evening  - RDBMS,Zoom,,,DA,Staff Training,TT19,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,16-Oct-24,RSAF - FDS (last day),Online,NC,NC,,"1 x 50"" hub DZ",,,,,,,,,,"3 x 50"" hub OMC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,17-Oct-24,,,,,,,,,,,,,,,,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,18-Oct-24,RSAF - DSV,TT19,SS,SS,SS,,,,,,,,,,,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,19-Oct-24,Morning - RDBMS,Zoom,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,20-Oct-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,21-Oct-24,RSAF - DVSAP,TT19,Haz,Haz,Haz,ACS,TT22,DA,DA,DA,SUTD - IBD,2.612A,NC,NC,NC,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,22-Oct-24,ACS,TT22,DA,DA,DA,Evening  - RDBMS,Zoom,,,NC,HTX SDAITIE,1.311A,JL,JL,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,23-Oct-24,,,,,,DSCPAPA,Offsite,,,,HTX SDAITIE,Library Training Room,JL,JL,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,24-Oct-24,,,,,,DSCPAPA,Offsite,,,,GAIP,1.311A,NC,NC,NC,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,25-Oct-24,RSAF - DSV,TT19,DA,DA,DA,DSCPAPA,Offsite,,,,GAIP,1.311A,NC,NC,NC,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,26-Oct-24,Morning - RDBMS,Zoom,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,27-Oct-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,28-Oct-24,RSAF - DVSAP,Online,DA,DA,,SUTD - IBD,2.612A,NC,NC,NC,ACS,TT22,Haz,Haz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,29-Oct-24,ACS,TT22,SS,SS,SS,Pub - GAID,1.311A,NC,NC,NC,Evening  - RDBMS,Zoom,,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,30-Oct-24,"8 x 50"" hub WS SA",,,,,Pub - GAID,1.311A,NC,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,31-Oct-24,DEEPAVALI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,1-Nov-24,RSAF - DSV,TT19,SS,SS,SS,"8 x 50"" hub WS SA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,2-Nov-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,3-Nov-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,4-Nov-24,RSAF - DVSAP,Online,SS,SS,,SUTD - IBD,2.612A,NC,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,5-Nov-24,,,,,,Evening  - RDBMS,Zoom,,,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,6-Nov-24,STE - FDIB,2.612A,NC,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,7-Nov-24,STE - FDIB,2.612A,NC,NC,NC,,,,,,ACS (AM),TT22,DA,DA,,CSM,Zoom,AL,AL,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,8-Nov-24,STE - FDIB,2.612A,NC,NC,DA,RSAF - DSV,Online - PM,,DA,DA,,,,,,CSM,Zoom,AL,AL,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,9-Nov-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,10-Nov-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,11-Nov-24,RSAF - DSMP,TT19,AL,AL,AL,ST EP (ALAN),1.311A,JL,JL,JL,A-CSPO,Zoom,SS,SS,,BCA DI 4-Days,2.612A,NC,NC,NC,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,12-Nov-24,,,,,,ST EP (ALAN),1.311A,JL,JL,JL,A-CSPO,Zoom,SS,SS,SS,BCA DI 4-Days,2.612A,NC,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,13-Nov-24,,,,,,GAIP,1.311A,JL,JL,JL,,,,,,SCIMPBIS,Offsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,14-Nov-24,ACS (AM),TT22,SS,SS,,GAIP,1.311A,JL,JL,JL,R&T MAIEG,2.612A,AL,AL,AL,SCIMPBIS,Offsite,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,15-Nov-24,RSAF - DSV,Online - PM,,SS,SS,SUTD - IBD,2.612A,NC,NC,NC,R&T MAIEG,1.311A,AL,AL,AL,SCIMPBIS,Offsite,,,,Certis AI D1,Comp Lab 1.611,DA,DA,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,16-Nov-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,17-Nov-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,18-Nov-24,RSAF - DSMP,TT19,DA,DA,DA,,,,,,CSPO,Zoom,AL,AL,AL,BCA DI 4-Days,2.612A,NC,NC,NC,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,19-Nov-24,,,,,,,,,,,CSPO,Zoom,AL,AL,AL,BCA DI 4-Days,Kajimah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,20-Nov-24,,,,,,SUTD - IBD,2.612A,NC,NC,NC,CIPM,Zoom,JL,JL,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,21-Nov-24,,,,,,,,,,,CIPM,Zoom,,JL,JL,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,22-Nov-24,,,,,,,,,,,CIPM,Zoom,JL,JL,JL,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,23-Nov-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,24-Nov-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,25-Nov-24,RSAF - DSMP,TT19,JL,JL,JL,,,,,,,,,,,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,26-Nov-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,27-Nov-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,28-Nov-24,,,,,,,,,,,,,,,,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,29-Nov-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,30-Nov-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,1-Dec-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,2-Dec-24,RSAF - DSMP,TT19,DA,DA,DA,,,,,,,,,,,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,3-Dec-24,CSM,Zoom,JL,JL,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,4-Dec-24,CSM,Zoom,JL,JL,JL,,,,,,,,,,,"1x 85"" hub (Cynthia) 1x 85"" hub (EPD ROAR Lab YU Ling)",2.612A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,5-Dec-24,CSPO,Zoom,JL,JL,JL,,,,,,CPE,1.311A,NC,NC,NC,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,6-Dec-24,CSPO,Zoom,JL,JL,JL,,,,,,CPE,1.311A,NC,NC,NC,"1 x 50"" hub with Cam (Xue Li)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,7-Dec-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,8-Dec-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,9-Dec-24,RSAF - DSMP,Online,AL,AL,,ISSCELT,Offsite,,,,,,,,,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,10-Dec-24,GAIPM,1.311A,AL,AL,AL,ISSCELT,Offsite,,,,CGAIP,2.612A,NC,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,11-Dec-24,GAIPM,1.311A,AL,AL,AL,ISSCELT,Offsite,,,,CGAIP,2.612A,NC,NC,NC,"1x 50"" hub (Rina)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,12-Dec-24,,,,,,,,,,,,,,,,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,13-Dec-24,,,,,,,,,,,,,,,,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,14-Dec-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,15-Dec-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,16-Dec-24,RSAF - DSMP,Online,AL,AL,,DAI x 7 Hub 9am (Esther),,,,,,,,,,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,17-Dec-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,18-Dec-24,,,,,,MTD with 6 Hub,2.612A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,19-Dec-24,,,,,,MTD with 6 Hub,2.612A,,,,,,,,,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,20-Dec-24,,,,,,,,,,,,,,,,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,21-Dec-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,22-Dec-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
